letterboxd_search,Movie
https://letterboxd.com/search/Night+On+Earth+1991/,"{
    ""title"": ""night-on-earth"",
    ""url"": ""https://letterboxd.com/film/night-on-earth/"",
    ""directors"": [
        ""Jim Jarmusch""
    ],
    ""rating"": ""3.98 out of 5"",
    ""year"": ""1991"",
    ""genres"": [
        ""Drama"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/On+The+Wrong+Track+1915/,
https://letterboxd.com/search/Out+Of+The+Furnace+2013/,"{
    ""title"": ""out-of-the-furnace"",
    ""url"": ""https://letterboxd.com/film/out-of-the-furnace/"",
    ""directors"": [
        ""Scott Cooper""
    ],
    ""rating"": ""3.31 out of 5"",
    ""year"": ""2013"",
    ""genres"": [
        ""Drama"",
        ""Crime"",
        ""Thriller""
    ]
}"
https://letterboxd.com/search/The+Purge+2013/,"{
    ""title"": ""the-purge"",
    ""url"": ""https://letterboxd.com/film/the-purge/"",
    ""directors"": [
        ""James DeMonaco""
    ],
    ""rating"": ""2.71 out of 5"",
    ""year"": ""2013"",
    ""genres"": [
        ""Science Fiction"",
        ""Thriller"",
        ""Horror""
    ]
}"
https://letterboxd.com/search/Night+School+2018/,"{
    ""title"": ""night-school-2018"",
    ""url"": ""https://letterboxd.com/film/night-school-2018/"",
    ""directors"": [
        ""Malcolm D. Lee""
    ],
    ""rating"": ""2.29 out of 5"",
    ""year"": ""2018"",
    ""genres"": [
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Mr+Nanny+1993/,
https://letterboxd.com/search/Nightwish+1989/,"{
    ""title"": ""nightwish"",
    ""url"": ""https://letterboxd.com/film/nightwish/"",
    ""directors"": [
        ""Bruce R. Cook""
    ],
    ""rating"": ""2.77 out of 5"",
    ""year"": ""1989"",
    ""genres"": [
        ""Science Fiction"",
        ""Horror""
    ]
}"
https://letterboxd.com/search/Gods+Not+Dead+2024/,"{
    ""title"": ""gods-not-dead-in-god-we-trust"",
    ""url"": ""https://letterboxd.com/film/gods-not-dead-in-god-we-trust/"",
    ""directors"": [
        ""Vance Null""
    ],
    ""rating"": ""2.65 out of 5"",
    ""year"": ""2024"",
    ""genres"": [
        ""Drama""
    ]
}"
https://letterboxd.com/search/Reform+School+Girls+1986/,"{
    ""title"": ""reform-school-girls"",
    ""url"": ""https://letterboxd.com/film/reform-school-girls/"",
    ""directors"": [
        ""Tom DeSimone""
    ],
    ""rating"": ""3.13 out of 5"",
    ""year"": ""1986"",
    ""genres"": [
        ""Action"",
        ""Crime"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/The+Monster+Of+Phantom+Lake+2006/,"{
    ""title"": ""the-monster-of-phantom-lake"",
    ""url"": ""https://letterboxd.com/film/the-monster-of-phantom-lake/"",
    ""directors"": [
        ""Christopher R. Mihm""
    ],
    ""rating"": ""None found"",
    ""year"": ""2006"",
    ""genres"": [
        ""Horror"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Final+Destination+2000/,"{
    ""title"": ""final-destination"",
    ""url"": ""https://letterboxd.com/film/final-destination/"",
    ""directors"": [
        ""James Wong""
    ],
    ""rating"": ""3.15 out of 5"",
    ""year"": ""2000"",
    ""genres"": [
        ""Horror""
    ]
}"
https://letterboxd.com/search/Tart+2001/,"{
    ""title"": ""tart"",
    ""url"": ""https://letterboxd.com/film/tart/"",
    ""directors"": [
        ""Christina Wayne""
    ],
    ""rating"": ""2.53 out of 5"",
    ""year"": ""2001"",
    ""genres"": [
        ""Drama"",
        ""Crime""
    ]
}"
https://letterboxd.com/search/Roma+2018/,
https://letterboxd.com/search/Cop+Or+Hood+1979/,"{
    ""title"": ""cop-or-hood"",
    ""url"": ""https://letterboxd.com/film/cop-or-hood/"",
    ""directors"": [
        ""Georges Lautner""
    ],
    ""rating"": ""3.31 out of 5"",
    ""year"": ""1979"",
    ""genres"": [
        ""Crime"",
        ""Comedy"",
        ""Thriller""
    ]
}"
